activity_id,activity_type,activity_date,lead_id,notes
1,Call,2024-01-13,2254,Product demo scheduled
2,Email,2024-03-12,840,Email sent
3,Call,2024-10-29,3457,Follow-up call
4,Call,2024-02-17,1792,Product demo scheduled
5,Call,2024-10-14,1629,Email sent
6,Demo,2024-04-22,3680,Email sent
7,Meeting,2024-01-04,1308,Proposal review
8,Meeting,2024-05-22,1274,Product demo scheduled
9,Meeting,2024-02-22,760,Proposal review
10,Call,2024-07-02,2818,Email sent
11,Meeting,2024-01-23,3764,Email sent
12,Call,2024-07-12,646,Email sent
13,Meeting,2024-11-17,2963,Email sent
14,Email,2024-12-26,570,Follow-up call
15,Email,2024-05-28,654,Product demo scheduled
16,Call,2024-07-13,2278,Proposal review
17,Meeting,2024-03-24,3033,Client discussion
18,Email,2024-12-09,2188,Follow-up call
19,Email,2024-09-30,2006,Product demo scheduled
20,Demo,2024-07-13,2212,Email sent
21,Email,2024-12-16,2657,Follow-up call
22,Email,2024-01-17,2585,Proposal review
23,Meeting,2024-02-03,1729,Email sent
24,Meeting,2024-04-18,4090,Proposal review
25,Demo,2024-03-14,2170,Product demo scheduled
26,Email,2024-10-14,4416,Client discussion
27,Demo,2024-10-25,3272,Client discussion
28,Email,2024-03-11,4175,Proposal review
29,Call,2024-01-25,899,Product demo scheduled
30,Email,2024-12-14,3459,Email sent
31,Call,2024-07-16,3127,Email sent
32,Demo,2024-09-27,2060,Email sent
33,Call,2024-12-14,939,Email sent
34,Meeting,2024-11-24,2787,Follow-up call
35,Meeting,2024-08-10,1296,Proposal review
36,Call,2024-05-14,4101,Product demo scheduled
37,Call,2024-11-16,2445,Email sent
38,Email,2024-03-19,3064,Product demo scheduled
39,Call,2024-11-02,2656,Proposal review
40,Call,2024-02-27,2974,Client discussion
41,Email,2024-01-30,1974,Email sent
42,Call,2024-02-13,3982,Follow-up call
43,Email,2024-03-06,3894,Email sent
44,Email,2024-05-15,4323,Email sent
45,Demo,2024-04-18,4418,Product demo scheduled
46,Meeting,2024-07-23,3060,Proposal review
47,Demo,2024-03-02,2031,Product demo scheduled
48,Call,2024-06-22,173,Email sent
49,Email,2024-10-28,1805,Follow-up call
50,Call,2024-12-28,483,Product demo scheduled
51,Call,2024-01-17,2707,Follow-up call
52,Email,2024-05-22,3977,Product demo scheduled
53,Email,2024-10-19,4721,Proposal review
54,Email,2024-08-30,3335,Product demo scheduled
55,Call,2024-02-19,3532,Client discussion
56,Demo,2024-07-29,3826,Follow-up call
57,Call,2024-02-01,3299,Client discussion
58,Call,2024-05-07,1570,Product demo scheduled
59,Demo,2024-03-12,3457,Product demo scheduled
60,Meeting,2024-08-24,2047,Follow-up call
61,Demo,2024-10-08,803,Follow-up call
62,Call,2024-02-17,1937,Product demo scheduled
63,Demo,2024-09-05,3944,Product demo scheduled
64,Demo,2024-01-31,1349,Proposal review
65,Call,2024-07-18,2173,Proposal review
66,Meeting,2024-08-04,4553,Proposal review
67,Email,2024-04-07,2431,Product demo scheduled
68,Call,2024-10-23,4442,Follow-up call
69,Meeting,2024-01-30,411,Email sent
70,Demo,2024-09-14,4351,Product demo scheduled
71,Call,2024-09-17,657,Product demo scheduled
72,Call,2024-10-31,557,Product demo scheduled
73,Demo,2024-03-02,4667,Product demo scheduled
74,Call,2024-11-13,672,Proposal review
75,Meeting,2024-05-13,1674,Client discussion
76,Email,2024-05-15,3243,Product demo scheduled
77,Meeting,2024-08-22,2591,Follow-up call
78,Call,2024-08-22,4613,Follow-up call
79,Call,2024-10-02,1747,Email sent
80,Meeting,2024-03-08,2860,Follow-up call
81,Email,2024-07-08,2335,Product demo scheduled
82,Demo,2024-10-05,2479,Email sent
83,Call,2024-12-07,4544,Client discussion
84,Call,2024-03-09,2167,Follow-up call
85,Call,2024-10-10,1274,Client discussion
86,Meeting,2024-11-05,1726,Client discussion
87,Email,2024-12-17,2163,Email sent
88,Demo,2024-05-08,417,Follow-up call
89,Demo,2024-05-21,362,Follow-up call
90,Meeting,2024-03-07,2146,Product demo scheduled
91,Demo,2024-10-09,3504,Email sent
92,Call,2024-02-27,617,Product demo scheduled
93,Call,2024-07-08,4772,Email sent
94,Email,2024-08-08,1045,Follow-up call
95,Meeting,2024-07-05,327,Client discussion
96,Email,2024-12-15,2045,Follow-up call
97,Meeting,2024-10-13,3330,Email sent
