lead_id,lead_name,lead_source,status,created_date,customer_id
1,Lead_1,Website,New,2024-05-20,126
2,Lead_2,LinkedIn,Contacted,2024-02-22,347
3,Lead_3,Email Campaign,New,2024-10-29,217
4,Lead_4,Website,New,2024-02-17,112
5,Lead_5,LinkedIn,New,2024-10-14,102
6,Lead_6,Email Campaign,Lost,2024-04-22,230
7,Lead_7,Email Campaign,Qualified,2024-01-04,389
8,Lead_8,LinkedIn,Lost,2024-06-23,143
9,Lead_9,LinkedIn,Contacted,2024-06-21,53
10,Lead_10,Website,Lost,2024-02-19,184
11,Lead_11,Referral,Qualified,2024-01-23,374
12,Lead_12,Cold Call,New,2024-07-12,41
13,Lead_13,Email Campaign,Qualified,2024-11-17,317
14,Lead_14,Referral,Contacted,2024-12-26,36
15,Lead_15,Website,Contacted,2024-05-28,41
16,Lead_16,LinkedIn,New,2024-07-13,143
17,Lead_17,Cold Call,Qualified,2024-03-24,190
18,Lead_18,Referral,Contacted,2024-12-09,137
19,Lead_19,Website,Contacted,2024-09-30,374
20,Lead_20,LinkedIn,Contacted,2024-08-24,195
21,Lead_21,Referral,Contacted,2024-12-16,167
22,Lead_22,Website,Contacted,2024-01-17,413
23,Lead_23,Referral,Lost,2024-05-17,34
24,Lead_24,LinkedIn,Qualified,2024-04-18,336
25,Lead_25,Cold Call,Lost,2024-11-25,235
26,Lead_26,LinkedIn,Qualified,2024-03-12,127
27,Lead_27,Email Campaign,Qualified,2024-10-26,220
28,Lead_28,Email Campaign,Lost,2024-07-04,113
29,Lead_29,LinkedIn,Lost,2024-02-16,387
30,Lead_30,Website,New,2024-03-19,322
31,Lead_31,LinkedIn,Lost,2024-11-01,33
32,Lead_32,Cold Call,Lost,2024-11-01,240
33,Lead_33,Email Campaign,Qualified,2024-10-10,441
34,Lead_34,Website,New,2024-12-15,454
35,Lead_35,Email Campaign,Qualified,2024-11-24,175
36,Lead_36,Website,Qualified,2024-08-10,81
37,Lead_37,Cold Call,New,2024-05-14,498
38,Lead_38,Email Campaign,Contacted,2024-09-16,468
39,Lead_39,Website,Qualified,2024-11-23,260
40,Lead_40,Email Campaign,Contacted,2024-03-19,192
41,Lead_41,LinkedIn,New,2024-11-02,166
42,Lead_42,Cold Call,New,2024-02-27,476
43,Lead_43,Referral,Qualified,2024-05-02,30
44,Lead_44,LinkedIn,New,2024-02-13,375
45,Lead_45,Cold Call,New,2024-09-29,393
46,Lead_46,LinkedIn,Contacted,2024-12-03,244
47,Lead_47,Email Campaign,Contacted,2024-05-15,271
48,Lead_48,Email Campaign,Lost,2024-04-18,476
49,Lead_49,Email Campaign,Contacted,2024-12-31,160
50,Lead_50,Cold Call,Qualified,2024-08-12,461
51,Lead_51,Email Campaign,Lost,2024-03-02,127
52,Lead_52,LinkedIn,New,2024-06-22,11
53,Lead_53,Email Campaign,Contacted,2024-10-28,113
54,Lead_54,Website,New,2024-12-28,324
55,Lead_55,Website,Contacted,2024-02-04,464
56,Lead_56,Website,Qualified,2024-02-06,264
57,Lead_57,LinkedIn,Qualified,2024-12-08,249
58,Lead_58,LinkedIn,Contacted,2024-10-19,296
59,Lead_59,Cold Call,Contacted,2024-08-30,414
60,Lead_60,Cold Call,Contacted,2024-02-18,50
61,Lead_61,Cold Call,Qualified,2024-08-04,211
62,Lead_62,Cold Call,New,2024-12-10,335
63,Lead_63,Website,New,2024-07-25,373
64,Lead_64,Referral,New,2024-05-07,99
65,Lead_65,LinkedIn,Lost,2024-03-12,217
66,Lead_66,LinkedIn,Qualified,2024-08-24,128
67,Lead_67,Website,Lost,2024-10-08,51
68,Lead_68,Website,New,2024-02-17,475
69,Lead_69,LinkedIn,Contacted,2024-07-27,249
70,Lead_70,Cold Call,Contacted,2024-07-24,463
71,Lead_71,Website,Contacted,2024-07-13,2
72,Lead_72,Cold Call,Qualified,2024-08-20,147
73,Lead_73,Cold Call,Lost,2024-03-20,98
74,Lead_74,Referral,Contacted,2024-01-30,297
75,Lead_75,Email Campaign,New,2024-06-09,30
76,Lead_76,Website,Lost,2024-09-14,471
77,Lead_77,Email Campaign,Contacted,2024-01-30,492
78,Lead_78,Email Campaign,New,2024-04-05,36
79,Lead_79,Email Campaign,New,2024-12-11,442
80,Lead_80,LinkedIn,Lost,2024-03-02,483
81,Lead_81,Email Campaign,Contacted,2024-10-23,305
82,Lead_82,Website,New,2024-08-02,337
83,Lead_83,Email Campaign,Qualified,2024-05-13,105
84,Lead_84,Referral,Contacted,2024-05-15,203
85,Lead_85,LinkedIn,Qualified,2024-08-22,162
86,Lead_86,Website,New,2024-08-22,319
87,Lead_87,Email Campaign,New,2024-02-07,276
88,Lead_88,LinkedIn,Qualified,2024-03-08,478
89,Lead_89,Referral,New,2024-05-05,190
90,Lead_90,Referral,Contacted,2024-08-12,427
91,Lead_91,Email Campaign,Qualified,2024-11-09,414
92,Lead_92,Email Campaign,New,2024-12-07,419
93,Lead_93,Email Campaign,Qualified,2024-12-05,54
94,Lead_94,LinkedIn,Qualified,2024-02-29,456
95,Lead_95,Website,Contacted,2024-05-19,145
96,Lead_96,Email Campaign,Contacted,2024-06-24,105
97,Lead_97,Referral,Lost,2024-05-08,464
98,Lead_98,Website,New,2024-11-20,217
99,Lead_99,Referral,New,2024-01-02,171
100,Lead_100,LinkedIn,Qualified,2024-03-23,380
101,Lead_101,Cold Call,Lost,2024-10-14,5
102,Lead_102,Website,New,2024-12-19,463
103,Lead_103,LinkedIn,New,2024-07-08,299
104,Lead_104,Email Campaign,Contacted,2024-08-08,66
105,Lead_105,Website,Qualified,2024-07-05,461
106,Lead_106,Website,Qualified,2024-04-17,350
107,Lead_107,LinkedIn,New,2024-06-30,400
108,Lead_108,Email Campaign,Lost,2024-11-13,384
109,Lead_109,LinkedIn,Contacted,2024-03-24,500
110,Lead_110,LinkedIn,Lost,2024-01-13,92
111,Lead_111,Referral,Lost,2024-12-08,443
112,Lead_112,LinkedIn,Qualified,2024-03-22,404
113,Lead_113,Website,Lost,2024-01-20,440
114,Lead_114,Cold Call,Contacted,2024-04-12,419
115,Lead_115,Cold Call,Qualified,2024-06-05,421
116,Lead_116,LinkedIn,Contacted,2024-01-13,338
117,Lead_117,LinkedIn,Lost,2024-06-17,143
118,Lead_118,Website,Qualified,2024-06-28,329
119,Lead_119,Email Campaign,Lost,2024-12-13,432
120,Lead_120,Email Campaign,Qualified,2024-01-15,60
121,Lead_121,Referral,Contacted,2024-10-24,493
122,Lead_122,Referral,New,2024-02-25,306
123,Lead_123,Cold Call,Qualified,2024-06-09,224
124,Lead_124,Email Campaign,New,2024-07-16,461
125,Lead_125,Email Campaign,Contacted,2024-05-10,23
126,Lead_126,Cold Call,New,2024-09-23,474
127,Lead_127,Email Campaign,Contacted,2024-07-05,221
128,Lead_128,Website,Qualified,2024-11-15,161
129,Lead_129,Website,Qualified,2024-09-16,159
130,Lead_130,Cold Call,Qualified,2024-07-25,357
131,Lead_131,Referral,Contacted,2024-04-08,216
132,Lead_132,Cold Call,Contacted,2024-11-11,292
133,Lead_133,Referral,Lost,2024-10-07,427
134,Lead_134,Website,Qualified,2024-05-26,108
135,Lead_135,Cold Call,Qualified,2024-08-26,227
136,Lead_136,Cold Call,Contacted,2024-09-18,243
137,Lead_137,LinkedIn,New,2024-05-25,264
138,Lead_138,Email Campaign,Qualified,2024-02-17,420
139,Lead_139,LinkedIn,Qualified,2024-04-25,413
140,Lead_140,LinkedIn,Contacted,2024-01-13,24
141,Lead_141,LinkedIn,Lost,2024-11-08,436
142,Lead_142,Website,Lost,2024-07-31,454
143,Lead_143,Email Campaign,Contacted,2024-12-22,197
144,Lead_144,Cold Call,Lost,2024-05-04,76
145,Lead_145,Website,New,2024-08-05,113
146,Lead_146,LinkedIn,Lost,2024-01-26,286
147,Lead_147,LinkedIn,New,2024-08-21,69
148,Lead_148,Cold Call,Qualified,2024-08-14,314
149,Lead_149,Email Campaign,Lost,2024-10-07,229
150,Lead_150,LinkedIn,Lost,2024-08-18,133
151,Lead_151,LinkedIn,Qualified,2024-09-23,249
152,Lead_152,LinkedIn,Qualified,2024-08-13,40
153,Lead_153,Referral,Contacted,2024-05-19,172
154,Lead_154,Referral,New,2024-03-11,78
155,Lead_155,LinkedIn,Lost,2024-12-21,79
156,Lead_156,LinkedIn,New,2024-07-31,209
157,Lead_157,Referral,Lost,2024-07-31,32
158,Lead_158,LinkedIn,Lost,2024-07-18,464
159,Lead_159,Email Campaign,New,2024-10-21,195
160,Lead_160,Cold Call,New,2024-06-29,153
161,Lead_161,Cold Call,Lost,2024-10-02,383
162,Lead_162,Email Campaign,Contacted,2024-09-06,113
163,Lead_163,Referral,Lost,2024-09-05,15
164,Lead_164,Cold Call,Qualified,2024-12-08,348
165,Lead_165,Cold Call,Contacted,2024-08-27,471
166,Lead_166,LinkedIn,New,2024-07-20,304
167,Lead_167,Email Campaign,New,2024-02-12,330
168,Lead_168,Cold Call,Contacted,2024-08-24,94
169,Lead_169,Website,Qualified,2024-07-13,168
170,Lead_170,LinkedIn,Lost,2024-06-16,173
171,Lead_171,Cold Call,Qualified,2024-08-03,130
172,Lead_172,Website,Lost,2024-01-10,384
173,Lead_173,Email Campaign,New,2024-06-28,115
174,Lead_174,Website,New,2024-01-16,487
175,Lead_175,LinkedIn,Contacted,2024-01-11,319
176,Lead_176,LinkedIn,Contacted,2024-03-05,243
177,Lead_177,Website,Contacted,2024-08-26,359
178,Lead_178,Referral,Qualified,2024-03-26,311
179,Lead_179,Email Campaign,New,2024-03-24,494
180,Lead_180,Referral,New,2024-10-23,14
181,Lead_181,Referral,Lost,2024-07-22,483
182,Lead_182,LinkedIn,New,2024-10-30,354
183,Lead_183,LinkedIn,New,2024-12-22,396
184,Lead_184,Referral,New,2024-10-16,401
185,Lead_185,Website,Qualified,2024-09-29,220
186,Lead_186,Referral,New,2024-09-16,332
187,Lead_187,Referral,New,2024-08-03,422
188,Lead_188,Cold Call,New,2024-08-09,492
189,Lead_189,Referral,Lost,2024-12-28,79
190,Lead_190,Cold Call,Contacted,2024-09-24,495
191,Lead_191,Referral,Lost,2024-08-26,224
192,Lead_192,Email Campaign,Qualified,2024-06-14,437
193,Lead_193,LinkedIn,New,2024-05-22,452
194,Lead_194,Cold Call,Contacted,2024-08-25,292
195,Lead_195,Email Campaign,Lost,2024-06-21,15
196,Lead_196,Cold Call,Qualified,2024-04-03,250
197,Lead_197,LinkedIn,Qualified,2024-05-12,175
198,Lead_198,Referral,Qualified,2024-10-11,6
199,Lead_199,Email Campaign,Contacted,2024-02-13,124
200,Lead_200,Cold Call,Lost,2024-10-11,389
201,Lead_201,LinkedIn,Lost,2024-11-26,365
202,Lead_202,Cold Call,Lost,2024-01-09,48
203,Lead_203,Referral,Contacted,2024-07-26,355
204,Lead_204,LinkedIn,Qualified,2024-12-05,298
205,Lead_205,Referral,Lost,2024-10-10,272
206,Lead_206,Referral,Lost,2024-10-08,170
207,Lead_207,Referral,Lost,2024-05-18,157
208,Lead_208,Referral,Contacted,2024-03-02,370
209,Lead_209,LinkedIn,Qualified,2024-03-02,381
210,Lead_210,Email Campaign,Contacted,2024-04-08,111
211,Lead_211,Cold Call,Qualified,2024-10-28,390
212,Lead_212,Email Campaign,Qualified,2024-02-21,427
213,Lead_213,LinkedIn,Qualified,2024-04-26,185
214,Lead_214,LinkedIn,Qualified,2024-01-08,363
215,Lead_215,Email Campaign,Contacted,2024-05-20,24
216,Lead_216,Website,Qualified,2024-12-23,484
217,Lead_217,LinkedIn,Lost,2024-02-22,447
218,Lead_218,Website,Qualified,2024-08-28,246
219,Lead_219,Cold Call,Qualified,2024-04-04,495
220,Lead_220,Website,Qualified,2024-09-01,59
221,Lead_221,Website,Lost,2024-09-08,38
222,Lead_222,Email Campaign,New,2024-03-18,77
223,Lead_223,Email Campaign,Qualified,2024-02-13,128
224,Lead_224,Website,Lost,2024-11-06,306
225,Lead_225,Email Campaign,Contacted,2024-09-24,195
226,Lead_226,Cold Call,Lost,2024-06-01,441
227,Lead_227,Email Campaign,Lost,2024-06-05,292
228,Lead_228,Email Campaign,New,2024-11-08,492
229,Lead_229,Website,Contacted,2024-11-16,109
230,Lead_230,Referral,New,2024-03-21,123
231,Lead_231,LinkedIn,New,2024-03-21,2
232,Lead_232,Cold Call,Lost,2024-12-18,305
233,Lead_233,Cold Call,Qualified,2024-01-17,119
234,Lead_234,Referral,Qualified,2024-12-25,441
235,Lead_235,Cold Call,New,2024-12-17,120
236,Lead_236,Referral,Contacted,2024-08-05,59
237,Lead_237,Email Campaign,Contacted,2024-11-27,77
238,Lead_238,Referral,Contacted,2024-02-06,31
239,Lead_239,LinkedIn,Qualified,2024-10-31,384
240,Lead_240,Email Campaign,Qualified,2024-08-12,64
241,Lead_241,Cold Call,Qualified,2024-12-24,207
242,Lead_242,Referral,Lost,2024-08-12,42
243,Lead_243,Email Campaign,New,2024-08-09,377
244,Lead_244,Referral,Qualified,2024-01-14,47
245,Lead_245,LinkedIn,New,2024-12-10,421
246,Lead_246,Referral,New,2024-03-30,241
247,Lead_247,Email Campaign,Lost,2024-05-22,93
248,Lead_248,Email Campaign,Lost,2024-11-21,417
249,Lead_249,Cold Call,New,2024-08-28,179
250,Lead_250,Cold Call,Qualified,2024-06-13,344
251,Lead_251,Website,Contacted,2024-06-17,211
252,Lead_252,Cold Call,Qualified,2024-12-05,484
253,Lead_253,Cold Call,New,2024-08-20,46
254,Lead_254,Referral,Qualified,2024-06-14,60
255,Lead_255,Cold Call,New,2024-12-02,446
256,Lead_256,Email Campaign,Lost,2024-07-30,28
257,Lead_257,LinkedIn,Qualified,2024-11-14,388
258,Lead_258,Cold Call,Lost,2024-01-27,105
