opportunity_id,opportunity_name,stage,deal_value,probability,expected_close_date,customer_id
1,Deal_1,Prospecting,2357113,41,2025-05-06,115
2,Deal_2,Proposal,4624866,46,2025-02-14,303
3,Deal_3,Won,299957,81,2025-02-17,112
4,Deal_4,Proposal,272599,72,2025-10-15,102
5,Deal_5,Lost,1899189,23,2025-08-18,302
6,Deal_6,Negotiation,1389319,40,2025-12-24,217
7,Deal_7,Negotiation,1354256,57,2025-04-21,491
8,Deal_8,Negotiation,828008,46,2025-07-14,50
9,Deal_9,Negotiation,2268961,62,2025-01-23,374
10,Deal_10,Won,1097117,97,2025-07-13,41
11,Deal_11,Lost,3083614,19,2025-10-23,99
12,Deal_12,Prospecting,1961749,42,2025-05-29,41
13,Deal_13,Proposal,3238729,46,2025-05-23,233
14,Deal_14,Negotiation,3155303,50,2025-07-01,108
15,Deal_15,Negotiation,1485615,44,2025-10-01,374
16,Deal_16,Proposal,3927719,50,2025-07-14,139
17,Deal_17,Lost,2770280,17,2025-01-29,118
18,Deal_18,Prospecting,3415214,60,2025-05-18,34
19,Deal_19,Proposal,2689709,76,2025-04-19,336
20,Deal_20,Won,3899128,92,2025-03-15,136
21,Deal_21,Proposal,4759097,55,2025-10-03,135
22,Deal_22,Lost,4945028,23,2025-07-24,186
23,Deal_23,Proposal,4324216,48,2025-09-10,47
24,Deal_24,Prospecting,1332125,47,2025-11-18,82
25,Deal_25,Won,582909,99,2025-07-17,196
26,Deal_26,Lost,4488532,24,2025-05-09,498
27,Deal_27,Lost,146309,37,2025-12-15,370
28,Deal_28,Prospecting,2288291,74,2025-11-25,175
29,Deal_29,Prospecting,3697075,58,2025-03-22,233
30,Deal_30,Prospecting,4249220,56,2025-04-02,260
31,Deal_31,Prospecting,2553536,80,2025-11-24,260
32,Deal_32,Lost,1332108,16,2025-07-11,391
33,Deal_33,Proposal,4498929,74,2025-01-01,307
34,Deal_34,Negotiation,213382,71,2025-02-27,476
35,Deal_35,Negotiation,2058671,59,2025-01-30,124
36,Deal_36,Lost,710662,40,2025-02-13,375
37,Deal_37,Won,4518663,82,2025-03-06,66
38,Deal_38,Won,1435185,97,2025-05-16,271
39,Deal_39,Lost,1826692,23,2025-10-04,387
40,Deal_40,Proposal,3396989,59,2025-12-10,333
41,Deal_41,Negotiation,4391740,68,2025-08-20,62
42,Deal_42,Proposal,587088,54,2025-06-23,11
43,Deal_43,Lost,1980342,27,2025-10-29,113
44,Deal_44,Prospecting,543868,44,2025-04-28,35
45,Deal_45,Prospecting,644394,61,2025-09-21,122
46,Deal_46,Negotiation,1847148,71,2025-10-04,68
47,Deal_47,Lost,4015051,28,2025-05-05,402
48,Deal_48,Won,1647274,93,2025-02-18,50
49,Deal_49,Won,3603235,91,2025-07-30,240
50,Deal_50,Prospecting,558455,46,2025-07-26,373
51,Deal_51,Negotiation,2135880,46,2025-04-09,98
52,Deal_52,Lost,1225934,24,2025-08-05,94
53,Deal_53,Negotiation,2145528,69,2025-02-08,227
54,Deal_54,Lost,474365,13,2025-11-30,277
55,Deal_55,Prospecting,2032894,45,2025-03-27,209
56,Deal_56,Won,1843042,95,2025-07-25,463
57,Deal_57,Prospecting,3229056,50,2025-01-02,200
58,Deal_58,Negotiation,2442843,69,2025-08-05,357
59,Deal_59,Lost,4132495,31,2025-03-21,98
60,Deal_60,Negotiation,540593,53,2025-10-24,377
61,Deal_61,Lost,2680707,11,2025-01-30,26
62,Deal_62,Lost,4268214,25,2025-09-29,81
63,Deal_63,Prospecting,722023,72,2025-04-06,36
64,Deal_64,Lost,2023033,12,2025-07-26,62
65,Deal_65,Lost,4906325,17,2025-11-01,21
66,Deal_66,Lost,3566713,12,2025-12-03,299
67,Deal_67,Lost,2703902,26,2025-05-14,105
68,Deal_68,Negotiation,2278136,55,2025-07-22,68
69,Deal_69,Negotiation,2702286,69,2025-02-07,5
70,Deal_70,Won,4772732,99,2025-02-21,38
71,Deal_71,Lost,4293668,16,2025-05-16,68
72,Deal_72,Negotiation,2099206,44,2025-07-09,146
73,Deal_73,Proposal,4606842,68,2025-12-27,155
74,Deal_74,Lost,4487076,35,2025-01-05,342
75,Deal_75,Lost,918946,19,2025-03-10,136
76,Deal_76,Prospecting,4690776,46,2025-03-21,140
77,Deal_77,Negotiation,1816889,78,2025-06-25,105
78,Deal_78,Negotiation,4148102,72,2025-05-09,464
79,Deal_79,Prospecting,3603211,45,2025-05-22,23
80,Deal_80,Prospecting,1147394,61,2025-11-23,135
81,Deal_81,Proposal,4677830,68,2025-12-28,219
82,Deal_82,Lost,988466,10,2025-02-08,484
83,Deal_83,Proposal,352225,74,2025-07-09,299
84,Deal_84,Lost,3655312,14,2025-03-07,22
85,Deal_85,Negotiation,384662,63,2025-07-03,108
86,Deal_86,Proposal,3016871,46,2025-10-14,453
87,Deal_87,Won,1346487,99,2025-05-02,443
88,Deal_88,Proposal,3508576,51,2025-01-13,92
89,Deal_89,Negotiation,2131777,66,2025-05-17,82
90,Deal_90,Prospecting,374845,64,2025-08-29,114
91,Deal_91,Proposal,2983147,69,2025-06-06,421
92,Deal_92,Proposal,248511,54,2025-12-04,99
93,Deal_93,Won,2387091,90,2025-02-05,496
94,Deal_94,Negotiation,4323204,62,2025-07-24,348
95,Deal_95,Lost,281530,20,2025-03-01,450
96,Deal_96,Negotiation,4920339,51,2025-05-16,20
97,Deal_97,Prospecting,3695385,78,2025-06-26,374
98,Deal_98,Negotiation,4340127,67,2025-03-01,198
99,Deal_99,Lost,2186767,16,2025-01-23,363
100,Deal_100,Won,4411407,80,2025-10-03,352
101,Deal_101,Proposal,3667984,63,2025-02-05,486
102,Deal_102,Negotiation,2683315,79,2025-12-06,435
103,Deal_103,Prospecting,4304051,59,2025-06-08,342
104,Deal_104,Won,3425579,90,2025-12-23,152
105,Deal_105,Lost,1659271,14,2025-08-04,341
106,Deal_106,Won,4824000,85,2025-06-04,208
107,Deal_107,Lost,53405,36,2025-06-05,147
108,Deal_108,Proposal,4915264,67,2025-11-07,336
109,Deal_109,Negotiation,3755969,69,2025-08-15,346
110,Deal_110,Proposal,4019373,72,2025-03-28,338
111,Deal_111,Prospecting,4373924,58,2025-12-06,325
112,Deal_112,Lost,833388,20,2025-05-01,345
113,Deal_113,Negotiation,1720422,54,2025-03-17,13
114,Deal_114,Prospecting,4035732,55,2025-11-09,436
115,Deal_115,Prospecting,3526583,69,2025-11-19,295
116,Deal_116,Proposal,4197136,64,2025-07-24,125
117,Deal_117,Proposal,944119,40,2025-08-06,113
118,Deal_118,Proposal,3946926,73,2025-01-26,286
119,Deal_119,Proposal,3879079,47,2025-03-10,411
120,Deal_120,Won,4738605,96,2025-11-01,163
121,Deal_121,Won,4284386,99,2025-08-07,426
122,Deal_122,Lost,1385113,24,2025-09-01,231
123,Deal_123,Negotiation,2376256,55,2025-09-24,249
124,Deal_124,Proposal,3739918,57,2025-02-09,366
125,Deal_125,Negotiation,2329311,55,2025-06-21,164
126,Deal_126,Lost,1210765,12,2025-03-19,119
127,Deal_127,Won,1844766,84,2025-02-02,213
128,Deal_128,Won,4601752,90,2025-08-27,213
129,Deal_129,Prospecting,3574419,53,2025-07-19,464
130,Deal_130,Lost,213845,40,2025-10-22,195
131,Deal_131,Won,3000766,80,2025-06-02,386
132,Deal_132,Won,4564921,93,2025-10-07,410
133,Deal_133,Lost,1900012,38,2025-09-07,113
134,Deal_134,Negotiation,4123860,67,2025-01-15,200
135,Deal_135,Negotiation,1434495,65,2025-08-28,471
136,Deal_136,Proposal,4530553,79,2025-01-14,465
137,Deal_137,Won,4784463,98,2025-12-06,14
138,Deal_138,Prospecting,1188329,67,2025-08-25,94
139,Deal_139,Prospecting,3230153,56,2025-06-17,109
140,Deal_140,Won,2881159,90,2025-07-14,143
141,Deal_141,Won,737079,88,2025-08-29,10
142,Deal_142,Lost,2985680,11,2025-04-25,333
143,Deal_143,Prospecting,310298,42,2025-05-07,103
144,Deal_144,Prospecting,1328275,79,2025-05-03,65
145,Deal_145,Won,4780919,83,2025-04-22,239
146,Deal_146,Negotiation,1457517,63,2025-11-07,311
147,Deal_147,Prospecting,2659183,50,2025-02-25,297
148,Deal_148,Prospecting,4880133,59,2025-12-13,465
149,Deal_149,Won,1713710,92,2025-02-08,304
150,Deal_150,Proposal,2579858,46,2025-12-17,308
151,Deal_151,Prospecting,394512,76,2025-06-27,273
152,Deal_152,Won,628451,91,2025-09-17,332
153,Deal_153,Negotiation,3573708,40,2025-09-08,55
154,Deal_154,Won,3906573,91,2025-12-29,79
155,Deal_155,Won,4426728,85,2025-11-30,139
156,Deal_156,Lost,4564521,35,2025-09-05,239
157,Deal_157,Won,2301464,98,2025-06-15,437
158,Deal_158,Proposal,2389819,45,2025-08-19,125
159,Deal_159,Won,3229192,98,2025-06-22,15
160,Deal_160,Won,1575383,90,2025-09-07,109
161,Deal_161,Negotiation,2904969,56,2025-05-24,451
162,Deal_162,Lost,2367508,32,2025-10-12,6
163,Deal_163,Lost,1652697,40,2025-02-13,124
164,Deal_164,Won,4707155,95,2025-05-04,354
165,Deal_165,Won,4167307,100,2025-08-18,406
166,Deal_166,Prospecting,2518226,45,2025-04-24,208
167,Deal_167,Proposal,4928441,59,2025-07-08,243
168,Deal_168,Lost,2933646,26,2025-08-06,382
169,Deal_169,Lost,3001200,20,2025-12-26,233
170,Deal_170,Negotiation,2158926,59,2025-04-29,62
171,Deal_171,Proposal,1052897,60,2025-10-02,487
172,Deal_172,Proposal,1865165,52,2025-09-05,142
173,Deal_173,Lost,4450973,34,2025-11-02,145
174,Deal_174,Prospecting,2535095,52,2025-04-27,185
175,Deal_175,Proposal,168685,59,2025-12-29,274
176,Deal_176,Proposal,431813,57,2025-01-28,284
177,Deal_177,Negotiation,4167788,48,2025-02-22,447
178,Deal_178,Prospecting,2435211,76,2025-08-29,246
179,Deal_179,Won,1596554,90,2025-01-27,130
180,Deal_180,Won,598140,83,2025-07-25,252
181,Deal_181,Prospecting,499705,76,2025-03-19,77
182,Deal_182,Lost,2598757,40,2025-02-13,128
183,Deal_183,Prospecting,3541120,75,2025-11-07,306
184,Deal_184,Lost,4433656,17,2025-07-14,231
185,Deal_185,Won,4986906,89,2025-08-08,157
186,Deal_186,Lost,555248,29,2025-11-09,492
187,Deal_187,Prospecting,1820207,53,2025-05-16,339
188,Deal_188,Prospecting,2062134,50,2025-03-30,283
189,Deal_189,Prospecting,72445,50,2025-07-29,231
190,Deal_190,Lost,2493260,25,2025-01-17,119
191,Deal_191,Negotiation,3858690,58,2025-02-06,352
192,Deal_192,Proposal,4997513,56,2025-12-05,412
193,Deal_193,Proposal,1012813,67,2025-10-06,116
194,Deal_194,Proposal,1243164,57,2025-02-06,31
195,Deal_195,Proposal,4824854,59,2025-05-28,225
196,Deal_196,Prospecting,2600901,69,2025-12-25,207
197,Deal_197,Negotiation,4579693,72,2025-09-10,225
198,Deal_198,Prospecting,384376,78,2025-08-10,377
199,Deal_199,Negotiation,2150238,78,2025-01-14,47
200,Deal_200,Proposal,4975144,76,2025-01-11,392
201,Deal_201,Negotiation,387487,76,2025-03-31,241
202,Deal_202,Lost,3759689,30,2025-05-23,93
203,Deal_203,Lost,4174894,23,2025-02-16,241
204,Deal_204,Negotiation,2845993,66,2025-06-14,344
205,Deal_205,Prospecting,2816593,50,2025-07-30,356
206,Deal_206,Won,3409236,89,2025-10-09,19
207,Deal_207,Won,2688361,82,2025-05-10,166
208,Deal_208,Prospecting,4366746,65,2025-01-01,337
209,Deal_209,Lost,3516571,24,2025-01-28,97
210,Deal_210,Lost,4231663,21,2025-11-17,227
211,Deal_211,Prospecting,2290230,53,2025-10-09,68
212,Deal_212,Negotiation,4116057,68,2025-03-04,15
213,Deal_213,Lost,2057372,35,2025-12-30,82
214,Deal_214,Negotiation,164709,75,2025-10-10,209
215,Deal_215,Prospecting,1001780,54,2025-08-25,485
216,Deal_216,Prospecting,4230676,49,2025-05-30,261
217,Deal_217,Negotiation,4097499,66,2025-08-30,125
218,Deal_218,Won,1263344,97,2025-07-16,98
219,Deal_219,Lost,1195114,26,2025-02-05,142
220,Deal_220,Won,4309212,90,2025-05-17,421
221,Deal_221,Prospecting,2554467,58,2025-10-28,297
222,Deal_222,Won,3795911,84,2025-10-03,248
223,Deal_223,Negotiation,4679818,61,2025-10-06,194
224,Deal_224,Won,1632530,90,2025-12-24,123
225,Deal_225,Lost,2009263,22,2025-07-30,23
226,Deal_226,Negotiation,3247998,70,2025-07-17,340
227,Deal_227,Proposal,360543,71,2025-03-06,258
228,Deal_228,Lost,891919,20,2025-08-14,52
229,Deal_229,Lost,3882990,39,2025-01-08,370
230,Deal_230,Proposal,1344875,66,2025-02-08,241
231,Deal_231,Negotiation,3384331,61,2025-11-29,42
232,Deal_232,Negotiation,3237749,74,2025-06-12,321
233,Deal_233,Won,351143,97,2025-11-13,36
234,Deal_234,Proposal,2460709,80,2025-04-27,383
235,Deal_235,Prospecting,875800,67,2025-11-21,361
236,Deal_236,Prospecting,1445568,68,2025-12-22,154
237,Deal_237,Prospecting,2771051,42,2025-01-29,151
238,Deal_238,Negotiation,3662862,63,2025-03-16,126
239,Deal_239,Lost,4797348,23,2025-12-16,406
240,Deal_240,Proposal,1518588,50,2025-02-10,313
241,Deal_241,Won,2070226,99,2025-09-12,468
242,Deal_242,Lost,1997737,14,2025-08-25,327
243,Deal_243,Negotiation,2191835,69,2025-12-08,5
244,Deal_244,Won,4635197,89,2025-03-22,38
245,Deal_245,Won,4978908,91,2025-06-03,328
246,Deal_246,Won,3882216,88,2025-06-04,102
247,Deal_247,Won,944672,95,2025-05-02,196
248,Deal_248,Lost,4871871,21,2025-06-01,359
249,Deal_249,Negotiation,3370259,41,2025-05-21,5
250,Deal_250,Lost,461412,37,2025-11-07,382
251,Deal_251,Won,1980372,89,2025-11-07,411
252,Deal_252,Negotiation,1644942,54,2025-11-14,129
253,Deal_253,Proposal,865070,80,2025-11-18,331
254,Deal_254,Prospecting,3747892,59,2025-01-18,297
255,Deal_255,Negotiation,806093,48,2025-06-01,168
256,Deal_256,Won,1734388,85,2025-03-09,403
257,Deal_257,Lost,3119035,38,2025-09-29,257
258,Deal_258,Negotiation,2205621,50,2025-09-04,496
259,Deal_259,Negotiation,1016113,61,2025-08-28,494
260,Deal_260,Prospecting,1942593,49,2025-12-13,371
261,Deal_261,Won,3118343,97,2025-02-16,405
262,Deal_262,Won,2268439,80,2025-10-02,64
263,Deal_263,Won,2249169,91,2025-10-27,196
264,Deal_264,Negotiation,2011440,46,2025-08-30,13
265,Deal_265,Lost,4759426,38,2025-06-17,469
266,Deal_266,Lost,580302,17,2025-11-22,422
267,Deal_267,Won,3475033,89,2025-03-01,72
268,Deal_268,Prospecting,2603195,42,2025-09-10,60
269,Deal_269,Prospecting,4559267,55,2025-03-11,199
270,Deal_270,Won,4581463,91,2025-08-03,301
271,Deal_271,Proposal,880653,66,2025-09-08,316
272,Deal_272,Won,324444,88,2025-12-20,190
273,Deal_273,Proposal,3780379,68,2025-05-01,438
274,Deal_274,Negotiation,3131428,46,2025-10-06,462
275,Deal_275,Negotiation,3389837,43,2025-05-22,98
276,Deal_276,Prospecting,819012,69,2025-12-06,109
277,Deal_277,Lost,474283,10,2025-06-20,125
278,Deal_278,Proposal,1771389,76,2025-02-05,425
279,Deal_279,Lost,4968937,16,2025-04-21,417
280,Deal_280,Proposal,1287774,61,2025-11-02,2
281,Deal_281,Negotiation,1140453,49,2025-10-04,129
282,Deal_282,Proposal,266259,47,2025-03-09,8
283,Deal_283,Negotiation,4989656,55,2025-06-15,9
284,Deal_284,Proposal,489554,56,2025-03-06,380
285,Deal_285,Won,1003359,96,2025-02-02,244
286,Deal_286,Won,4355352,91,2025-10-31,56
287,Deal_287,Won,1908494,96,2025-11-11,23
288,Deal_288,Lost,3892339,19,2025-11-26,494
289,Deal_289,Prospecting,4067991,43,2025-07-25,219
290,Deal_290,Prospecting,3770870,71,2025-02-07,461
291,Deal_291,Prospecting,1294314,60,2025-02-03,65
292,Deal_292,Negotiation,4960394,79,2025-10-08,365
293,Deal_293,Negotiation,4500633,64,2025-05-31,233
294,Deal_294,Lost,3658773,29,2025-02-20,407
295,Deal_295,Prospecting,1853744,75,2025-08-09,232
296,Deal_296,Proposal,2893164,66,2025-08-21,205
297,Deal_297,Won,2671845,83,2025-08-07,161
298,Deal_298,Negotiation,1330428,63,2025-12-18,473
299,Deal_299,Won,815248,82,2025-02-13,48
300,Deal_300,Won,3175988,83,2025-03-08,285
301,Deal_301,Prospecting,4760928,77,2025-10-15,169
302,Deal_302,Prospecting,3016195,66,2025-12-07,482
303,Deal_303,Won,2462810,81,2025-11-04,160
304,Deal_304,Negotiation,4897931,46,2025-09-17,109
305,Deal_305,Proposal,1931102,70,2025-02-25,180
306,Deal_306,Lost,1013727,21,2025-05-23,294
307,Deal_307,Proposal,4755721,67,2025-11-15,315
308,Deal_308,Lost,2293514,10,2025-01-15,93
309,Deal_309,Negotiation,2900655,59,2025-06-29,4
310,Deal_310,Proposal,4800645,49,2025-12-03,206
311,Deal_311,Prospecting,307170,49,2025-02-16,383
312,Deal_312,Lost,3205747,16,2025-08-03,233
313,Deal_313,Negotiation,3154230,50,2025-06-09,370
314,Deal_314,Negotiation,762671,76,2025-01-27,80
315,Deal_315,Proposal,467438,79,2025-12-12,42
316,Deal_316,Negotiation,3606893,68,2025-09-06,311
317,Deal_317,Won,2341489,93,2025-04-21,387
318,Deal_318,Lost,2945519,13,2025-08-09,57
319,Deal_319,Negotiation,4132171,77,2025-09-27,342
320,Deal_320,Negotiation,1899842,42,2025-07-22,307
321,Deal_321,Prospecting,1764825,40,2025-06-04,485
322,Deal_322,Proposal,2193452,48,2025-05-29,168
323,Deal_323,Prospecting,4222370,40,2025-08-09,90
324,Deal_324,Proposal,4517624,64,2025-12-27,118
325,Deal_325,Lost,3020969,27,2025-02-06,204
326,Deal_326,Prospecting,207215,67,2025-08-24,472
327,Deal_327,Prospecting,4879817,60,2025-08-08,294
328,Deal_328,Won,3553870,100,2025-05-29,59
329,Deal_329,Won,2774352,80,2025-03-29,411
330,Deal_330,Lost,3085440,24,2025-02-15,224
331,Deal_331,Prospecting,3704719,55,2025-10-29,206
332,Deal_332,Lost,3369931,12,2025-06-08,382
333,Deal_333,Negotiation,2843982,54,2025-03-28,40
334,Deal_334,Lost,1006524,30,2025-09-29,262
335,Deal_335,Proposal,2995238,62,2025-11-27,418
336,Deal_336,Proposal,912386,55,2025-03-16,132
337,Deal_337,Proposal,1332364,51,2025-12-02,39
338,Deal_338,Proposal,4194954,80,2025-08-26,387
339,Deal_339,Lost,4910930,34,2025-08-18,349
340,Deal_340,Lost,2761267,30,2025-11-18,162
341,Deal_341,Proposal,622826,68,2025-08-29,227
342,Deal_342,Negotiation,521205,57,2025-06-30,260
343,Deal_343,Prospecting,3923376,59,2025-08-20,20
344,Deal_344,Prospecting,2458176,63,2025-02-09,331
345,Deal_345,Prospecting,4303593,79,2025-07-16,237
346,Deal_346,Lost,394123,27,2025-08-19,466
347,Deal_347,Lost,1629067,30,2025-06-14,310
348,Deal_348,Won,1315514,96,2025-02-01,231
349,Deal_349,Prospecting,757404,61,2025-09-16,331
350,Deal_350,Proposal,2128224,42,2025-12-29,225
351,Deal_351,Won,4435128,96,2025-11-09,82
352,Deal_352,Negotiation,2423083,63,2025-07-18,210
353,Deal_353,Negotiation,489273,78,2025-11-20,332
354,Deal_354,Negotiation,2815646,44,2025-02-18,286
355,Deal_355,Won,2163893,89,2025-12-03,494
356,Deal_356,Lost,1311422,37,2025-06-20,42
357,Deal_357,Lost,1236387,31,2025-06-29,159
358,Deal_358,Won,760674,84,2025-06-08,287
359,Deal_359,Won,2805461,100,2025-03-07,344
360,Deal_360,Lost,3601790,12,2025-09-18,186
361,Deal_361,Prospecting,2640956,63,2025-04-03,487
362,Deal_362,Proposal,4129136,61,2025-04-09,116
363,Deal_363,Proposal,697307,49,2025-06-01,433
364,Deal_364,Prospecting,4577925,72,2025-09-27,20
365,Deal_365,Negotiation,1149319,79,2025-11-02,193
366,Deal_366,Proposal,1567045,50,2025-12-21,395
367,Deal_367,Lost,1438643,35,2025-08-13,23
368,Deal_368,Won,2042547,91,2025-08-16,313
369,Deal_369,Negotiation,2012958,68,2025-10-01,123
370,Deal_370,Negotiation,1677525,70,2025-07-08,348
371,Deal_371,Lost,3922852,24,2025-05-25,399
372,Deal_372,Won,4474653,96,2025-08-03,495
373,Deal_373,Proposal,1210971,52,2025-05-09,27
374,Deal_374,Won,4701824,91,2025-02-22,365
375,Deal_375,Lost,1095872,37,2025-05-26,43
376,Deal_376,Proposal,3819162,57,2025-09-20,76
377,Deal_377,Won,1912589,82,2025-08-19,453
378,Deal_378,Negotiation,3530407,41,2025-01-28,203
379,Deal_379,Lost,2027849,21,2025-07-17,42
380,Deal_380,Negotiation,286454,54,2025-06-13,477
381,Deal_381,Prospecting,1275150,61,2025-03-12,20
382,Deal_382,Negotiation,1214277,70,2025-12-28,241
383,Deal_383,Won,94050,99,2025-02-10,10
384,Deal_384,Negotiation,1304261,53,2025-10-08,482
385,Deal_385,Lost,3600518,26,2025-02-26,398
386,Deal_386,Negotiation,2576239,55,2025-03-04,25
387,Deal_387,Proposal,3884546,66,2025-02-02,57
388,Deal_388,Won,4546745,99,2025-01-09,324
389,Deal_389,Lost,2079524,28,2025-03-15,150
390,Deal_390,Won,3009635,80,2025-05-04,293
391,Deal_391,Won,768181,85,2025-09-26,500
392,Deal_392,Negotiation,4462906,44,2025-10-06,260
393,Deal_393,Lost,220576,27,2025-07-19,448
394,Deal_394,Won,3295395,81,2025-07-11,130
395,Deal_395,Prospecting,616730,62,2025-06-26,124
396,Deal_396,Prospecting,2839368,77,2025-03-10,23
397,Deal_397,Negotiation,2889940,74,2025-11-26,90
398,Deal_398,Won,1579058,95,2025-03-11,33
399,Deal_399,Won,2511574,81,2025-04-14,23
400,Deal_400,Proposal,2697409,42,2025-06-08,264
401,Deal_401,Won,4021165,97,2025-05-10,19
402,Deal_402,Proposal,3044516,58,2025-01-25,444
403,Deal_403,Negotiation,1094172,57,2025-07-08,224
404,Deal_404,Won,3293411,94,2025-06-23,499
405,Deal_405,Proposal,4223528,71,2025-07-08,474
406,Deal_406,Lost,742995,18,2025-08-06,41
407,Deal_407,Won,1563778,99,2025-10-07,151
408,Deal_408,Negotiation,721666,46,2025-06-17,339
409,Deal_409,Negotiation,3790612,59,2025-11-05,368
410,Deal_410,Won,3773773,85,2025-06-29,229
411,Deal_411,Prospecting,3698545,62,2025-05-21,328
412,Deal_412,Prospecting,3457538,44,2025-07-06,263
413,Deal_413,Proposal,1247720,41,2025-11-08,348
414,Deal_414,Won,1108894,81,2025-02-04,121
415,Deal_415,Negotiation,3261615,63,2025-10-18,17
416,Deal_416,Lost,3824224,14,2025-07-09,191
417,Deal_417,Won,4864404,82,2025-03-12,272
418,Deal_418,Negotiation,2687256,65,2025-11-29,143
419,Deal_419,Proposal,267376,47,2025-04-06,256
420,Deal_420,Lost,4761652,22,2025-03-02,135
421,Deal_421,Negotiation,1849947,68,2025-11-10,147
422,Deal_422,Won,1078757,86,2025-03-11,437
423,Deal_423,Prospecting,1498346,68,2026-01-01,228
424,Deal_424,Prospecting,2964414,60,2025-12-30,34
425,Deal_425,Lost,2485735,27,2025-06-03,436
426,Deal_426,Proposal,1510381,80,2025-07-05,261
427,Deal_427,Proposal,1735945,47,2025-03-13,122
428,Deal_428,Won,3077419,80,2025-10-11,294
429,Deal_429,Negotiation,4677549,69,2025-03-08,314
430,Deal_430,Prospecting,2644518,44,2025-07-23,368
431,Deal_431,Won,3495999,96,2025-07-29,422
432,Deal_432,Lost,1101317,12,2025-06-12,329
433,Deal_433,Prospecting,3957692,68,2025-12-15,265
434,Deal_434,Negotiation,4674668,48,2025-11-24,301
435,Deal_435,Proposal,3679065,48,2025-09-15,467
436,Deal_436,Prospecting,4396155,47,2025-03-20,156
437,Deal_437,Proposal,2756674,50,2025-12-30,116
438,Deal_438,Negotiation,2432769,73,2025-02-10,129
439,Deal_439,Proposal,4670792,80,2025-05-21,65
440,Deal_440,Negotiation,4525138,79,2025-02-17,258
441,Deal_441,Proposal,4920815,77,2025-03-20,88
442,Deal_442,Lost,2882158,33,2025-10-16,22
443,Deal_443,Prospecting,431361,45,2025-11-25,395
444,Deal_444,Lost,1818388,18,2025-10-20,214
445,Deal_445,Lost,304056,30,2025-09-12,456
446,Deal_446,Lost,2584149,19,2025-09-05,126
447,Deal_447,Won,3854603,89,2025-02-07,353
448,Deal_448,Prospecting,3737678,50,2025-08-01,248
449,Deal_449,Won,2903742,86,2025-11-07,74
450,Deal_450,Negotiation,2947178,60,2025-07-24,67
451,Deal_451,Negotiation,4761471,72,2025-02-24,164
452,Deal_452,Proposal,1077788,69,2025-05-17,231
453,Deal_453,Proposal,862115,49,2025-01-26,149
454,Deal_454,Won,3557568,99,2025-05-08,493
455,Deal_455,Proposal,4895990,60,2025-06-10,98
456,Deal_456,Proposal,4367824,71,2025-08-28,256
457,Deal_457,Negotiation,244416,71,2025-02-16,484
458,Deal_458,Won,3885528,96,2025-05-04,111
459,Deal_459,Lost,458174,21,2025-01-26,145
460,Deal_460,Won,3997568,99,2025-05-27,275
461,Deal_461,Prospecting,3664884,46,2025-03-10,452
462,Deal_462,Negotiation,3432740,63,2025-07-07,24
463,Deal_463,Won,4833869,81,2025-10-15,100
464,Deal_464,Negotiation,2470966,75,2025-02-07,198
465,Deal_465,Lost,4662535,24,2025-05-24,423
466,Deal_466,Lost,1046659,31,2025-03-07,500
467,Deal_467,Prospecting,3180614,65,2025-06-23,286
468,Deal_468,Negotiation,1719818,49,2025-11-05,261
469,Deal_469,Won,387682,96,2025-01-24,20
470,Deal_470,Proposal,4024053,61,2025-09-23,234
471,Deal_471,Proposal,4374375,78,2025-03-13,168
472,Deal_472,Lost,1413165,20,2025-07-21,316
473,Deal_473,Negotiation,2871705,77,2025-09-17,425
474,Deal_474,Lost,4159131,27,2025-12-29,289
475,Deal_475,Negotiation,189560,70,2025-07-08,170
476,Deal_476,Prospecting,4946448,66,2025-06-07,408
477,Deal_477,Prospecting,4031151,78,2025-05-16,496
478,Deal_478,Lost,1958770,28,2025-01-27,299
479,Deal_479,Won,4447579,85,2025-11-19,370
480,Deal_480,Lost,3239267,34,2025-03-17,421
481,Deal_481,Proposal,4853067,42,2025-12-25,57
482,Deal_482,Proposal,3749699,41,2025-06-10,215
483,Deal_483,Proposal,1760367,66,2025-07-30,257
484,Deal_484,Lost,4006113,39,2025-02-01,362
